Papel;Empresa;CNPJ;Setor de atuação;Subsetor de atuação;Segmento de atuação;Patrimônio líquido;Ativos;Ativo circulante;Dívida bruta;Disponibilidade;Dívida líquida;Valor de mercado;Valor de firma;Número total de papéis;Segmento de listagem;Free float;Cotação atual;Mínima 52 semanas;Máxima 52 semanas;Dividend Yield;Valorização
cbav3;Companhia Brasileira de Alumínio;61.409.892/0001-73;Materiais Básicos;Mineração;Minerais Metálicos;5449089000;12239229000;4506104000;2918506000;1482360000;1436146000;7090416663;8526562663;595833333;Novo Mercado;32.11;11.89;9.42;23.47;3.20;-20.20
cbee3;AMPLA ENERGIA E SERVICOS S.A.;33.050.071/0001-58;Utilidade Pública;Energia Elétrica;Energia Elétrica;4749900000;16736800000;3324407000;5007729000;218116000;4789613000;3103512179;7893125179;240209921;;0.20;12.92;12.92;22.93;2.77;-43.63
ccro3;CCR S.A.;02.846.056/0001-97;Bens Industriais;Transporte;Exploração de Rodovias;12334278000;50239131000;12833426000;29102685000;8724066000;20378619000;21957400000;42336019000;2020000000;Novo Mercado;49.43;10.88;10.06;14.35;3.48;-1.98
ceab3;CEA MODAS S.A.;45.242.914/0001-05;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;2785869000;9014859000;4064337000;2382050000;1236680000;1145370000;789107374;1934477374;308245068;Novo Mercado;34.18;2.52;1.95;6.58;-;-55.32
cebr3;CIA ENERGETICA DE BRASILIA;00.070.698/0001-11;Utilidade Pública;Energia Elétrica;Energia Elétrica;928570000;1323219000;687625000;0;504128000;-504128000;785307250;281179250;72081915;;19.85;11.00;9.68;15.65;32.20;-11.15
cebr5;CIA ENERGETICA DE BRASILIA;00.070.698/0001-11;Utilidade Pública;Energia Elétrica;Energia Elétrica;928570000;1323219000;687625000;0;504128000;-504128000;785307250;281179250;72081915;;19.85;10.90;9.82;14.71;32.49;-10.36
cebr6;CIA ENERGETICA DE BRASILIA;00.070.698/0001-11;Utilidade Pública;Energia Elétrica;Energia Elétrica;928570000;1323219000;687625000;0;504128000;-504128000;785307250;281179250;72081915;;19.85;10.68;9.60;14.42;36.65;-13.66
cedo3;CIA FIACAO TECIDOS CEDRO CACHOEIRA;17.245.234/0001-00;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;102805000;879507000;472056000;237423000;15811000;221612000;52467257;274079257;10000000;Nível 1;60.56;6.35;5.45;7.31;-;-9.29
cedo4;CIA FIACAO TECIDOS CEDRO CACHOEIRA;17.245.234/0001-00;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;102805000;879507000;472056000;237423000;15811000;221612000;52467257;274079257;10000000;Nível 1;60.56;3.78;3.60;6.59;-;-24.40
ceeb3;CIA ELETRICIDADE EST. DA BAHIA - COELBA;15.139.629/0001-94;Utilidade Pública;Energia Elétrica;Energia Elétrica;6250000000;25859000000;6194000000;12645000000;997000000;11648000000;12649721750;24297721750;262096087;;1.06;39.27;28.13;42.28;16.10;31.96
ceeb5;CIA ELETRICIDADE EST. DA BAHIA - COELBA;15.139.629/0001-94;Utilidade Pública;Energia Elétrica;Energia Elétrica;6250000000;25859000000;6194000000;12645000000;997000000;11648000000;12649721750;24297721750;262096087;;1.06;30.99;0.32;46.16;20.40;9584.38
ceed3;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;08.467.115/0001-00;Utilidade Pública;Energia Elétrica;Energia Elétrica;-2772017000;6223304000;2057528000;2644626000;591828000;2052798000;2371218912;4424016912;68254930;;4.88;34.74;34.74;59.99;-;-26.09
ceed4;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;08.467.115/0001-00;Utilidade Pública;Energia Elétrica;Energia Elétrica;-2772017000;6223304000;2057528000;2644626000;591828000;2052798000;2371218912;4424016912;68254930;;4.88;35.00;35.00;65.50;-;-23.75
